t,x,y,z
45.3,0.119748004,0.054176078,0.360526447
45.4,0.118154071,0.054295456,0.362794971
45.5,0.116568846,0.054427926,0.364951483
45.6,0.114992667,0.054573227,0.366995475
45.7,0.113425869,0.054731095,0.368926482
45.8,0.111868779,0.054901258,0.370744086
45.9,0.110321718,0.055083443,0.372447908
46,0.108785003,0.055277372,0.374037617
46.1,0.107258944,0.055482763,0.375512924
46.2,0.105743846,0.055699331,0.376873586
46.3,0.104240006,0.055926788,0.378119403
46.4,0.102747716,0.056164839,0.379250219
46.5,0.101267264,0.05641319,0.380265924
46.6,0.099798927,0.056671541,0.381166451
46.7,0.09834298,0.056939591,0.381951778
46.8,0.09689969,0.057217034,0.382621926
46.9,0.095469316,0.057503562,0.383176962
47,0.094052112,0.057798865,0.383616996
47.1,0.092648326,0.058102629,0.383942183
47.2,0.091258198,0.05841454,0.384152721
47.3,0.089881962,0.05873428,0.384248854
47.4,0.088519845,0.059061527,0.384230867
47.5,0.087172066,0.059395962,0.38409909
47.6,0.085838839,0.059737259,0.383853897
47.7,0.08452037,0.060085094,0.383495704
47.8,0.083216858,0.060439139,0.383024972
47.9,0.081928497,0.060799065,0.382442204
48,0.080655469,0.061164544,0.381747944
48.1,0.079397955,0.061535244,0.380942781
48.2,0.078156124,0.061910833,0.380027344
48.3,0.076930141,0.062290978,0.379002307
48.4,0.075720162,0.062675346,0.377868381
48.5,0.074526336,0.063063602,0.376626324
48.6,0.073348806,0.063455412,0.37527693
48.7,0.072187707,0.063850441,0.373821036
48.8,0.071043165,0.064248354,0.372259519
48.9,0.069915302,0.064648816,0.370593296
49,0.068804231,0.065051491,0.368823324
49.1,0.067710057,0.065456044,0.366950598
49.2,0.066632879,0.065862143,0.364976153
49.3,0.065572788,0.066269451,0.362901061
49.4,0.064529868,0.066677638,0.360726434
49.5,0.063504196,0.067086369,0.358453419
49.6,0.062495841,0.067495314,0.356083201
49.7,0.061504866,0.067904142,0.353617003
49.8,0.060531325,0.068312524,0.351056082
49.9,0.059575266,0.068720133,0.34840173
50,0.05863673,0.069126642,0.345655278
50.1,0.057715749,0.069531727,0.342818086
50.2,0.056812351,0.069935065,0.339891552
50.3,0.055926553,0.070336334,0.336877105
50.4,0.055058369,0.070735217,0.333776209
50.5,0.054207802,0.071131397,0.330590358
50.6,0.053374851,0.071524558,0.327321079
50.7,0.052559507,0.07191439,0.32396993
50.8,0.051761754,0.072300582,0.320538498
50.9,0.050981568,0.072682829,0.317028401
51,0.05021892,0.073060826,0.313441287
51.1,0.049473774,0.073434272,0.30977883
51.2,0.048746086,0.07380287,0.306042733
51.3,0.048035805,0.074166325,0.302234727
51.4,0.047342876,0.074524346,0.298356569
51.5,0.046667236,0.074876645,0.294410041
51.6,0.046008813,0.075222937,0.290396951
51.7,0.045367533,0.075562943,0.286319131
51.8,0.044743313,0.075896384,0.282178437
51.9,0.044136064,0.07622299,0.277976746
52,0.043545691,0.076542489,0.273715961
